Country,variant,first_seq,last_seq,duration,mortality_rate,total_cases,total_deaths,growth_rate,Continent
Chile,S.Q677H.Mockingbird,2020-12-23,2021-11-13,326,0.027413376464422195,22.44370265,0.61525767,2411.9,South America
Chile,S.K417,2021-04-06,2021-10-30,208,0.022605794853876638,215.4879979,4.871277474,4110.629464,South America
Chile,S.Y145,2021-02-23,2021-11-21,272,0.022069338830032252,31220.9205,689.0250731,3504.628804,South America
Chile,S.Y144-,2020-04-09,2021-08-12,491,0.021980984134043955,12870.76174,282.9120096,3272.003704,South America
Chile,21H.Mu,2021-04-27,2021-08-24,120,0.022069338824753516,30350.98774,669.8262321,2268.593813,South America
Chile,20I.Alpha.V1,2020-12-22,2021-09-25,278,0.02253697362823974,8387.66953,189.032687,4955.214435,South America
Chile,S.A222,2020-10-12,2021-08-10,303,0.02198098413549945,5543.829364,121.8588253,3815.061123,South America
Chile,S.T572,2020-05-11,2021-11-19,558,0.022112576081047434,1317.243793,29.12765359,3322.041476,South America
Chile,21C.Epsilon,2020-12-27,2021-10-13,291,0.022020974300604162,1123.001069,24.72957768,5320.967366,South America
Chile,S.S477,2021-05-10,2021-11-16,191,0.02221515579794669,191.4315505,4.252681719,2013.953964,South America
Chile,S.H69-,2020-12-22,2021-08-18,240,0.022152026482868566,11603.15089,257.0333058,3993.602744,South America
Chile,20B.S.796H,2021-03-12,2021-10-15,218,0.02439041026485845,16.49323007,0.402276648,891.4513362,South America
Colombia,S.A626S,2021-01-05,2021-10-07,276,0.026088600708306355,63.05880175,1.6451159,891.4513362,South America
Colombia,21A.Delta,2021-07-24,2020-07-10,380,0.025424583163429,17470.22336,444.1731467,2172.568214,South America
Colombia,S.Q677P.Pelican,2021-03-05,2021-11-08,249,0.026568769045855603,84.03991706,2.232837147,891.4513362,South America
Colombia,21I.Delta,2021-07-03,2021-10-23,113,0.025442112340320778,14271.49352,363.0969414,3977.912435,South America
Colombia,Delta.ORF1a3059F,2021-08-04,2021-10-04,62,0.025461825115300585,369.2697178,9.402280975,1927.217308,South America
Colombia,20B.S.732A,2021-03-29,2021-06-10,74,0.026395327770239653,88.49066874,2.335740206,891.4513362,South America
Colombia,S.K417,2021-07-01,2021-11-10,133,0.025484095067171857,5664.356365,144.3509961,7471.066591,South America
Colombia,21C.Epsilon,2021-01-08,2020-12-05,35,0.026201251804746317,271.7417241,7.119973339,6641.149778,South America
Colombia,S.S477,2020-03-25,2021-07-29,492,0.025386864835581245,1626.477227,41.29115752,9768.727523,South America
Colombia,20A.EU1,2021-01-17,2021-08-30,226,0.0254824296427118,70.66625935,1.800747982,891.4513362,South America
Ecuador,S.L18,2020-07-01,2021-06-14,349,0.06332646624467272,15472.69475,979.8310818,1051.098084,South America
Ecuador,21A.Delta.S.K417,2021-06-30,2021-08-31,63,0.047022490535347405,47.28307724,2.223368052,891.4513362,South America
Ecuador,21A.Delta,2021-07-13,2021-04-23,82,0.06350364401732206,803.5712076,51.02969991,360.4588022,South America
Ecuador,S.Q613,2021-06-02,2021-02-22,101,0.06332646621942431,215.6473136,13.65618232,522.0977823,South America
Ecuador,21I.Delta,2021-07-18,2021-05-27,53,0.06419924646659185,579.5787357,37.2085181,424.1538462,South America
Ecuador,S.K417,2021-06-30,2021-04-09,83,0.06432525849176528,147.8640817,9.511395277,948.9402597,South America
Ecuador,S.Y144-,2021-01-05,2021-08-12,220,0.06421811360174179,13704.04393,880.0478499,1272.374126,South America
Ecuador,20I.Alpha.V1,2021-01-05,2021-07-01,178,0.06421811358360087,13547.72404,870.0092812,1272.374126,South America
Ecuador,S.A222,2021-05-11,2021-03-10,63,0.06419924646815392,790.3346396,50.73888832,764.5319202,South America
Ecuador,S.T572,2021-06-08,2021-05-07,33,0.0633264662386789,8032.862432,508.6927916,498.9414933,South America
Ecuador,21A.21B,2021-06-22,2021-07-22,31,0.06419119213564295,10119.09498,649.5567701,573.8124197,South America
Ecuador,S.S477,2021-03-09,2021-05-26,79,0.06332646623369262,7008.537692,443.8259255,882.2830501,South America
Ecuador,S.H69-,2021-01-05,2021-04-26,112,0.06421811361078301,13287.19088,853.2783335,1272.374126,South America
Ecuador,20B.S.796H,2021-06-04,2021-05-20,16,0.04709402849683282,94.35681138,4.443642364,1060.276923,South America
Ecuador,S.H655,2020-12-10,2021-04-29,141,0.06332646625003525,15418.78292,976.4170362,1072.511698,South America
Guyana,S.N501,2021-01-18,2020-09-28,113,0.02442850739578664,642.528,15.696,88.94420506,South America
Guyana,S.L18,2021-01-18,2020-11-02,78,0.02442850739578664,642.528,15.696,88.94420506,South America
Guyana,21A.Delta,2021-09-06,2020-08-28,375,0.024428507395786645,3426.816,83.712,131.0,South America
