Country,variant,first_seq,last_seq,duration,mortality_rate,total_cases,total_deaths,growth_rate,Continent
Barbados,21A.21B,2021-04-25,2021-03-31,1,0.011047180665251146,244.1011236,2.696629213,4.2990768,North America
Barbados,S.E484,2021-05-22,2021-05-20,1,0.011113683722689631,72.79213483,0.808988764,4.288358389,North America
Barbados,20A.EU2,2020-12-30,2021-07-28,211,0.018817203971788644,1.04494382,0.019662921,891.4513362,North America
Barbados,S.S477,2020-12-30,2021-06-02,155,0.018817203971788644,1.04494382,0.019662921,891.4513362,North America
Barbados,S.H69-,2020-12-12,2021-05-19,159,0.011047180666816881,561.4325843,6.202247191,18.80192637,North America
Barbados,20J.Gamma.V3,2021-05-22,2021-08-02,73,0.01111368371688918,60.66011236,0.674157303,4.288358389,North America
Barbados,S.H655,2021-06-18,2021-08-07,51,0.01111368372879512,48.52808989,0.539325843,8.069187675,North America
Barbados,S.P681,2021-06-01,2021-05-31,1,0.0110471806666167,549.2275281,6.06741573,5.65036075,North America
Barbados,21J.Delta,2021-04-25,2021-06-05,42,0.011047180669006895,231.8960674,2.561797753,4.2990768,North America
Belize,S.Q677,2021-04-29,2021-09-26,151,0.025541673268856292,18.16954023,0.46408046,891.4513362,North America
Belize,S.N501,2021-01-12,2021-11-16,309,0.023449893090290958,1041.594828,24.42528736,10.54347523,North America
Belize,S.L18,2021-01-20,2021-03-23,63,0.023449893105038835,458.3017241,10.74712644,10.36146075,North America
Belize,21A.Delta,2021-07-21,2021-10-14,86,0.023585234811711802,41.18103448,0.971264368,32.325,North America
Belize,21I.Delta,2021-01-07,2021-01-08,2,0.023391411725519482,1570.905172,36.74568966,10.85174865,North America
Belize,20B.S.732A,2020-12-27,2021-08-21,238,0.025597407857854606,70.94827586,1.816091954,23.52276934,North America
Belize,ORF1a.S3675,2021-01-29,2021-06-17,140,0.02344989310446537,1333.241379,31.26436782,10.32074275,North America
Belize,21F.Iota,2021-05-07,2021-09-09,126,0.02546113828120487,18.22701149,0.46408046,891.4513362,North America
Belize,S.Y144-,2021-01-29,2021-11-16,292,0.02347970633178545,560.0948276,13.15086207,10.20799226,North America
Belize,20I.Alpha.V1,2021-01-12,2021-08-26,227,0.023479706331817684,601.5833333,14.125,10.45045218,North America
Belize,S.A222,2021-01-07,2021-06-22,167,0.02339141170655696,1298.614943,30.37643678,10.85174865,North America
Belize,S.Q677H.Yellowhammer,2021-04-29,2021-10-27,182,0.025541673268856292,18.16954023,0.46408046,891.4513362,North America
